controlCategory,controlType,controlPeriodocity,control,controlID
NA,Manual,0.1,Randomly verify the existence of mandatory documents for the project initiatives in scope (Risk Management Plan),2392
NA,Manual,92.0,Randomly check the existence of the Risk Register,2984
NA,Manual,92.0,Verify the correct/complete receipt of the scope of application by accessing the Risk Registers,4062
NA,Manual,92.0,Verify the correct identification of the scope of application of the ICT risk analysis with reference to the Cyber area,2057
NA,Manual,92.0,Verify the correct identification of the scope of application of the ICT risk analysis,2056
NA,Manual,92.0,Randomly verify the existence of the mandatory documents for the project initiatives in the perimeter (Tool of relevant cyber changes),666
NA,Manual,92.0,Randomly verify the existence of the mandatory documents for the project initiatives in the perimeter (preliminary Risk Map),665
NA,Manual,365.0,Verify that you have received the requested information,4031
NA,Manual,365.0,Check the update of the regulation,109
NA,Manual,365.0,Check account balances related to taxes,5152
NA,Manual,0.1,Verify correct accounting,4397
NA,Manual,365.0,Check the correctness of the data,4396
NA,Manual,365.0,Check the simulation,1764
NA,Manual,365.0,Check DTA/DTL estimation,1765
NA,Manual,365.0,Verify the valorisation of information,3247
NA,Manual,365.0,Check the estimate of the taxes for the period,2709
NA,Manual,365.0,Check the data,112
NA,Manual,365.0,Check the transcoding of the data,111
NA,Manual,365.0,Check the adequacy of the data,110
NA,Manual,365.0,Verify the correctness of the Financial Statement information,5153
NA,Manual,3650.0,Check the consistency of the information,5164
NA,NA,,Check closure of signal,5526
NA,NA,,Check whether the alternative and/or additional measures and procedures established by the competent Compliance structure have been respected,1703
NA,NA,,"Verify the control of the completeness/correctness of the documentation, as well as compliance with the time limits set for the enforcement of the Guarantee",4269
NA,Manual,365.0,Verify the correctness of the upload,810
NA,Manual,0.1,Verify correct accounting,809
Professional,Manual,0.1,Check documentation,812
NA,Manual,0.1,Check documentation,3397
NA,Manual,92.0,Check the accounting of capital gains or losses,2969
Operational,Manual,0.1,Verify correct transposition into the management system,3375
Professional,Manual,0.1,Check cash flow update,1552
Operational,Manual,0.1,Verify the correctness of the activity continuation,1091
Professional,Manual,0.1,Check the completeness of the proposal documentation,1338
NA,Manual,0.1,Check the changes made,5000
NA,Semi-automatic,0.1,Verify correct entry of data into the system,848
Professional,Manual,30.0,Verify complete assignment,2339
Operational,Manual,1.0,Verify complete acceptance,3036
Operational,Manual,30.0,Verify complete assignment,5266
Operational,Manual,30.0,Verify complete assignment,5267
Operational,Semi-automatic,0.1,Supervise the correct sending of communications,4044
NA,Semi-automatic,182.0,Verify that the system is fully loaded,2390
NA,Semi-automatic,182.0,Check your submissions,2391
Operational,Manual,0.1,Verify correct registration in the system,120
Professional,Manual,0.1,Check completeness of documentation,4243
NA,Manual,0.1,Check the proformas of the individual lots,39
NA,Semi-automatic,30.0,Check for any missing machining,2029
NA,Manual,0.1,Check the massive module,1822
Operational,Manual,0.1,Verify the correct accounting of the operation,5625
NA,Manual,30.0,Check for any deviations,2513
NA,NA,,Check that you have filled in the checklist correctly,4215
Operational,NA,,Ensure compliance with the reporting deadlines established by law,424
Operational,NA,,Verify the consistency of the information sent outwards,5512
NA,Semi-automatic,0.1, Check that the systems are powered correctly,2697
Operational,Semi-automatic,0.1,Check that the systems are powered correctly,1860
Operational,Semi-automatic,1.0,Monitor the status of scheduled activities,1979
Operational,Manual,0.1,Check the status of the deal and the settlement instructions,4324
Operational,Manual,0.1,Check the reason for the failure to send,1980
NA,Semi-automatic,30.0,Check the assigned price,5415
NA,Manual,30.0,Verify the correct insertion of the unwinding operations detected,5442
NA,Semi-automatic,30.0,Verify the completeness of the acquired data,5428
NA,Manual,30.0,Verify timely and correct update of the legal status,914
NA,Manual,0.1,Validate possible shutdown alert,2229
NA,Manual,0.1,Validate possible shutdown alert,2228
NA,Manual,0.1,Validate possible shutdown alert,2227
Operational,NA,,Verify that you have evaluated the Business Continuity and Disaster Recovery Plans of all critical suppliers for business continuity purposes,2518
Operational,Manual,0.1,Receive the pending current account and debit the customer current account or manage the pending,3622
NA,Manual,30.0,Verify the correct entry of market data,3914
NA,Semi-automatic,30.0,Monitor flow between Front system and evaluation system,3487
NA,Semi-automatic,30.0,Check the calculation of Fair Value,3488
NA,Semi-automatic,30.0,Verify the correct determination of the correlation,3486
NA,Semi-automatic,30.0,Verify the completeness of the acquired data,3489
NA,Manual,30.0,Verify the correct insertion of the unwinding operations detected,3915
NA,Semi-automatic,30.0,Verify the correct calculation of the Base Correlation,3490
Operational,Manual,0.1,Check the correctness and completeness of the covenants entered in the system,5311
Operational,Manual,0.1,Check the correctness and completeness of the loan data entered in the system,5706
NA,Manual,0.1,Verify calculation correctness and consistency,559
NA,Manual,0.1,Verify calculation correctness and consistency,5376
NA,Manual,0.1,Check forcing,2852
NA,Semi-automatic,30.0,Check data completeness,5377
NA,Manual,0.1,Verify calculation correctness and consistency,560
NA,NA,,Verify the completeness and truthfulness of the data,5380
NA,NA,,Check that the response has been forwarded to the MEF,1229
NA,NA,,Verify the correctness of what was delivered,4713
NA,Manual,0.1,Verify the correct definition of the agreement,1967
NA,Semi-automatic,30.0,Check the consistency of the invoices received,5284
NA,Semi-automatic,30.0,Verify consistency with the annual estimates,2567
NA,Semi-automatic,30.0,Verify the consistency between invoices and the amounts accounted for,2568
Operational,NA,,Verify the adequacy of the control objective to ensure regulatory compliance,2059
Operational,NA,,Verify the correct implementation of organizational and procedural changes,4429
NA,Manual,0.1,Verify the correct fiduciary framework of the active guarantee,3687
NA,Manual,0.1,Validate deals,4191
NA,Manual,92.0,Check the consistency of the data relating to retrocessions to the networks,122
NA,Manual,0.1,Check commission calculation,4192
NA,Manual,0.1,Verify the effective regulation of the operation,4317
NA,NA,,Verify the exact execution of the securities loading on the pertinent deposit,2681
NA,Manual,0.1,Verify the effective regulation of the operation,4482
NA,NA,,Check the exact setting of the securities download from the pertinent deposit,1296
Operational,Manual,0.1,Validate the operation,4824
NA,NA,,Verify the existence and characteristics of the underlying to be hedged,788
NA,NA,,Monitor the operations carried out by the supervisee in financial instruments of OTC Derivatives,3253
NA,NA,,Monitor the operations carried out by the supervisee in financial instruments of OTC Derivatives,2736
NA,Semi-automatic,30.0,Verify data acquisition,2203
NA,Semi-automatic,30.0,Check data completeness and consistency,3976
NA,Semi-automatic,30.0,Check for error logs,3977
NA,NA,,Check documentation,2144
NA,NA,,Check published documentation,2149
NA,Semi-automatic,,Check published documentation,2145
NA,NA,,Certify the documentation produced,2146
NA,NA,,Verify and approve the documentation to be published,2147
NA,NA,,Verify correct publication,1607
NA,NA,,Verify the correctness of the contractual DDS in production,2535
NA,NA,,Verify the correctness of the contract in production,2536
NA,NA,,Check documentation,2148
NA,Automatic,0.1,Verify submission to systems,3926
NA,Semi-automatic,0.1,Check for regular rate or currency correction,141
NA,Manual,1.0,Check aggregated operations detail,3925
NA,Automatic,0.1,Verify submission to accounting systems,3927
NA,Semi-automatic,1.0,Monitor and adjust REPO Basket Proposal,5052
NA,Manual,0.1,Verify the correct balancing of the operations,5053
NA,NA,, Check the completeness of the documentation and instructions assigned,4970
NA,Manual,0.1,Check the completeness of the documentation and instructions assigned,4972
NA,NA,,Manage the instructions contained in the dispositive email,4971
NA,NA,,Check the correct update of the application,528
NA,NA,,Verify the correct formalization of the Control Card,4702
NA,Semi-automatic,0.1,Verify the correctness of the Circular prepared,716
NA,NA,,Perform post-release checks,529
NA,Semi-automatic,0.1,Verify the successful acquisition/release of the final concordance opinion,1375
Operational,Semi-automatic,1.0,Reconcile positions,3208
Operational,Semi-automatic,1.0,Reconcile positions,1158
Professional,Semi-automatic,0.1,Check the consistency of the values entered in the system [,572
Professional,Manual,0.1,Verify exact reclassification of balance sheet data,4353
NA,Semi-automatic,30.0, Verify correct and complete receipt,2653
NA,Semi-automatic,0.1,Check the correctness of the prices of the contributed titles,192
NA,Semi-automatic,30.0,Verify the correct and complete loading of the prices,191
NA,Semi-automatic,1.0,Verify successful completion of the data flow sent,5189
NA,Semi-automatic,30.0,Verify the complete sending of the data,5261
NA,Automatic,0.1,Check for invalid titles,5260
NA,Semi-automatic,30.0,Verify that the upload is complete,2866
NA,Automatic,1.0,Verify acquisition of open positions from position keeping systems,5188
NA,Automatic,1.0,Verify correct acquisition of prices from infoproviders,2865
NA,Semi-automatic,30.0,Verify the correctness of the prices of non-contributed securities,193
NA,Manual,30.0,Verify the formal correctness of the Management Risk Status,1473
Operational,NA,,Verify the correct reporting of Legal Entities,3561
NA,Manual,365.0,Verify consistency between disclosure and regulation Group guidelines and principles,4619
NA,Manual,365.0,Verify data correspondence within the disclosure,4620
NA,Manual,365.0,Check the information correspondence prepared with the documentation received and internal evidence,5532
