activityType,activityCategory,activity,activityID
process activity,Operational,Send the Certified Summary Servicer Report,21810
process activity,Professional,Make monthly data available with periodic suitability checks,13910
process activity,Professional,Submit public CB ISP eligibility reports,23147
process activity,Professional,Produce and send a summary report containing the eligibility of the mortgages,17571
process activity,Professional,Manage any critical issues,14204
process activity,Professional,Perform semi-annual regulatory checks,15948
control activity,Other,Check the capitalization range,5212
process activity,Professional,Apply the weighting vector,1709
control activity,Other,Reconcile data,19373
process activity,Operational,Prepare download of the database relating to loans,16446
process activity,Professional,Carry out the ALM Tests on the emission program,3273
process activity,Professional,Send half-yearly reports on the membership band,21555
process activity,Operational,Upload the file to the Credit Datasheet section of the Servicer Report,24559
control activity,Other,Check the correct completion of the credit data,5460
process activity,Operational,Prepare download of the database relating to the securities sold,16447
